period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2023,NUEGD,Nuclear fuel price in the electric power sector,OK,Oklahoma,0,Dollars per million Btu
2023,NUEGD,Nuclear fuel price in the electric power sector,OR,Oregon,0,Dollars per million Btu
2023,NUEGD,Nuclear fuel price in the electric power sector,PA,Pennsylvania,.64,Dollars per million Btu
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,NC,North Carolina,244.6,Million dollars
2023,NUETP,Nuclear electricity total net generation,KY,Kentucky,0,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,LA,Louisiana,12211,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,MA,Massachusetts,0,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,AL,Alabama,45579,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,AR,Arkansas,14972,Million kilowatthours
2023,NUETB,"Nuclear energy consumed for electricity generation, total",CA,California,185192,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",CO,Colorado,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",CT,Connecticut,142873,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MA,Massachusetts,0,Dollars per million Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MD,Maryland,156610,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",ME,Maine,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",MI,Michigan,292615,Billion Btu
2023,NUETD,"Nuclear fuel average price, all sectors",PA,Pennsylvania,.64,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",RI,Rhode Island,0,Dollars per million Btu
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,ND,North Dakota,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,NE,Nebraska,47.4,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,NH,New Hampshire,58.6,Million dollars
2023,NUETB,"Nuclear energy consumed for electricity generation, total",OH,Ohio,169392,Billion Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,AZ,Arizona,31523,Million kilowatthours
2023,NUEGP,Nuclear electricity net generation in the electric power sector,CA,California,17718,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,VA,Virginia,182.6,Million dollars
2023,NUETD,"Nuclear fuel average price, all sectors",MD,Maryland,.59,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",ME,Maine,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",MI,Michigan,.54,Dollars per million Btu
2023,NUETP,Nuclear electricity total net generation,OK,Oklahoma,0,Million kilowatthours
2023,NUETP,Nuclear electricity total net generation,OR,Oregon,0,Million kilowatthours
2023,NUETD,"Nuclear fuel average price, all sectors",SC,South Carolina,.55,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",SD,South Dakota,0,Dollars per million Btu
2023,NUETD,"Nuclear fuel average price, all sectors",TN,Tennessee,.59,Dollars per million Btu
2023,NUEGP,Nuclear electricity net generation in the electric power sector,NH,New Hampshire,9535,Million kilowatthours
2023,NUETB,"Nuclear energy consumed for electricity generation, total",OK,Oklahoma,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",OR,Oregon,0,Billion Btu
2023,NUETB,"Nuclear energy consumed for electricity generation, total",PA,Pennsylvania,787083,Billion Btu
2023,NUETP,Nuclear electricity total net generation,CA,California,17718,Million kilowatthours
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,VT,Vermont,0,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,WA,Washington,57.7,Million dollars
2023,NUEGV,Nuclear fuel expenditures in the electric power sector,WI,Wisconsin,59.6,Million dollars
2023,HVCAS,Conventional hydroelectric generating units capacity factor,NJ,New Jersey,10.8,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,NM,New Mexico,26.5,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,NV,Nevada,14.3,Percent
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,AZ,Arizona,2722,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,CA,California,10226,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,CO,Colorado,690,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,CT,Connecticut,119,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,DC,District of Columbia,0,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,DE,Delaware,0,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,FL,Florida,44,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,GA,Georgia,1985,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,HI,Hawaii,32,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,IA,Iowa,209,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,ID,Idaho,2631,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,ME,Maine,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,MI,Michigan,2186,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,MN,Minnesota,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,MO,Missouri,657,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,MS,Mississippi,0,Thousand kilowatts
2023,HVCAS,Conventional hydroelectric generating units capacity factor,PA,Pennsylvania,34.2,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,RI,Rhode Island,31.9,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,SC,South Carolina,19.4,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,SD,South Dakota,30.7,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,TN,Tennessee,35.2,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,TX,Texas,12.1,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,US,United States,35,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,UT,Utah,33.8,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,VA,Virginia,18.3,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,VT,Vermont,52.9,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,WA,Washington,32.6,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,WI,Wisconsin,53.6,Percent
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,MT,Montana,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NC,North Carolina,86,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,ND,North Dakota,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NE,Nebraska,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NH,New Hampshire,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NJ,New Jersey,415,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NM,New Mexico,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NV,Nevada,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,NY,New York,1405,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,OH,Ohio,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,OK,Oklahoma,258,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,OR,Oregon,0,Thousand kilowatts
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,AK,Alaska,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,AL,Alabama,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,AR,Arkansas,38.6,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,AZ,Arizona,13,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,CA,California,6.3,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,CO,Colorado,4.4,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,CT,Connecticut,8.6,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,DC,District of Columbia,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,DE,Delaware,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,FL,Florida,0,Percent
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,IL,Illinois,33,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,IN,Indiana,72,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,KS,Kansas,7,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,KY,Kentucky,1137,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,LA,Louisiana,192,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,WV,West Virginia,341,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,WY,Wyoming,307,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MA,Massachusetts,267,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MD,Maryland,515,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,ME,Maine,726,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MI,Michigan,264,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MN,Minnesota,212,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MO,Missouri,549,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MS,Mississippi,0,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,MT,Montana,2825,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NC,North Carolina,2011,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,ND,North Dakota,510,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NE,Nebraska,280,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,PA,Pennsylvania,1492,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,RI,Rhode Island,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,SC,South Carolina,2956,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,SD,South Dakota,0,Thousand kilowatts
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,GA,Georgia,11,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,HI,Hawaii,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,IA,Iowa,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,ID,Idaho,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,IL,Illinois,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,IN,Indiana,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,KS,Kansas,0,Percent
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,TN,Tennessee,1616,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,TX,Texas,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,US,United States,23147,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,UT,Utah,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,VA,Virginia,3253,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,VT,Vermont,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,WA,Washington,314,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,WI,Wisconsin,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,WV,West Virginia,0,Thousand kilowatts
2023,HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,WY,Wyoming,0,Thousand kilowatts
2023,HVCAS,Conventional hydroelectric generating units capacity factor,AK,Alaska,42.7,Percent
2023,HVCAS,Conventional hydroelectric generating units capacity factor,AL,Alabama,29.2,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,KY,Kentucky,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,LA,Louisiana,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MA,Massachusetts,7.4,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MD,Maryland,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,ME,Maine,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MI,Michigan,11.9,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MN,Minnesota,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MO,Missouri,7.4,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MS,Mississippi,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,MT,Montana,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NC,North Carolina,.1,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,ND,North Dakota,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NE,Nebraska,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NH,New Hampshire,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NJ,New Jersey,12.2,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NM,New Mexico,0,Percent
2023,HPCAS,Hydroelectric pumped storage generating units usage factor,NV,Nevada,0,Percent
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NH,New Hampshire,507,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NJ,New Jersey,12,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NM,New Mexico,83,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NV,Nevada,1052,Thousand kilowatts
2023,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,NY,New York,4561,Thousand kilowatts
